Date,Ticker,Close,Target_Risk,pred_logistic,proba_logistic,pred_rf,proba_rf
2024-10-25,BBVA,9.042,0,0,0.23146365053091397,0,0.26323151579012266
2024-10-28,BBVA,9.058,0,0,0.2517091950636144,0,0.2543949157789042
2024-10-29,BBVA,9.018,0,0,0.2328335179539283,0,0.25774557738011483
2024-10-30,BBVA,9.094,0,0,0.23392306973195207,0,0.26047675839035195
2024-10-31,BBVA,9.15,0,0,0.22885793436306628,0,0.2745071305115886
2024-11-01,BBVA,9.416,0,0,0.2532968218793562,0,0.2855815648076215
2024-11-04,BBVA,9.552,0,0,0.25179852630132743,0,0.28324605084925697
2024-11-05,BBVA,9.606,0,0,0.2559764631563488,0,0.2829738430962926
2024-11-06,BBVA,8.97,0,0,0.3343454064017991,0,0.2519406521498629
2024-11-07,BBVA,9.342,0,0,0.31963530539591845,0,0.27090482288562584
2024-11-08,BBVA,9.102,0,0,0.2771541206590075,0,0.2588337190589528
2024-11-11,BBVA,9.124,0,0,0.29618230938574797,0,0.25031830878668043
2024-11-12,BBVA,8.914,0,0,0.2891525381036902,0,0.2438140422515182
2024-11-13,BBVA,8.878,0,0,0.32137457073182096,0,0.2476366999893211
2024-11-14,BBVA,9.086,0,0,0.24497818013686418,0,0.25218009955550774
2024-11-15,BBVA,9.376,0,0,0.27513309449601375,0,0.28081114090216913
2024-11-18,BBVA,9.428,0,0,0.26646368342613824,0,0.2682623642326111
2024-11-19,BBVA,9.328,0,0,0.30925294201746606,0,0.27578195475981815
2024-11-20,BBVA,9.23,0,0,0.2925577381034552,0,0.26577666757462753
2024-11-21,BBVA,9.254,0,0,0.26229697595796037,0,0.2611009578451923
2024-11-22,BBVA,9.17,0,0,0.26732609763344595,0,0.2643493044496104
2024-11-25,BBVA,9.252,0,0,0.28606626367447624,0,0.2520874637827303
2024-11-26,BBVA,8.946,0,0,0.3188337082675394,0,0.24805961785601677
2024-11-27,BBVA,8.794,0,0,0.3427879749085439,0,0.2519850489027908
2024-11-28,BBVA,8.87,0,0,0.30164272733693903,0,0.25304383913675504
2024-11-29,BBVA,8.936,0,0,0.3165529294911167,0,0.2592120094879764
2024-12-02,BBVA,8.976,0,0,0.3214299256319095,1,0.5769481827665106
2024-12-03,BBVA,9.15,0,0,0.3543233720038124,1,0.6136368484535637
2024-12-04,BBVA,9.242,0,0,0.2976527335450725,1,0.6282924306001658
2024-12-05,BBVA,9.632,0,0,0.3290238334760474,1,0.6376754901533291
2024-12-06,BBVA,9.554,0,0,0.3050274738234873,1,0.6323228158075254
2024-12-09,BBVA,9.582,0,0,0.3329447593413843,1,0.6227221508528983
2024-12-10,BBVA,9.592,0,0,0.2997122288065535,1,0.6160008178248925
2024-12-11,BBVA,9.508,0,0,0.3203913619573407,1,0.6070695082865423
2024-12-12,BBVA,9.666,0,0,0.2882161719611716,1,0.5881215074992139
2024-12-13,BBVA,9.704,0,0,0.3064916735972123,1,0.6030111595088586
2024-12-16,BBVA,9.768,0,0,0.29109755500928575,1,0.6091629077604204
2024-12-17,BBVA,9.52,0,0,0.28809424639201797,1,0.5848433862035352
2024-12-18,BBVA,9.56,0,0,0.21804384801307594,1,0.5709973233868326
2024-12-19,BBVA,9.374,0,0,0.21156617954118875,1,0.5424823693765016
2024-12-20,BBVA,9.302,0,0,0.2496490558842556,1,0.5790306099278243
2024-12-23,BBVA,9.3,0,0,0.26508150962655036,1,0.5839267978878855
2024-12-24,BBVA,9.266,0,0,0.30030394612114747,1,0.5970806908437998
